"Frame Transformation Calculation"
"Calculation Inputs"
"Calculation type","Frame Transformation (from Frame 1 to Frame 2)"
"Frame 1","MOON_ME_DE421"
"Frame 2","J2000"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Time sampling","1 seconds in TDT (a.k.a. TT)"
"Light propagation","No correction"
"Orientation form","Euler angles"
"Rotation order","R = [Angle3]z * [Angle2]x * [Angle1]z"
"Angular units","Degrees"
"Angular velocity form","Not included"
"Frame Transformation Results"
"UTC calendar date","Angle 3 (deg)","Angle 2 (deg)","Angle 1 (deg)"
"2024-12-14 20:09:44.000000 UTC",-179.89455837,21.90335780,-72.22547026
"2024-12-14 20:09:45.000000 UTC",-179.89455848,21.90335775,-72.22562265
"2024-12-14 20:09:46.000000 UTC",-179.89455859,21.90335770,-72.22577505
"2024-12-14 20:09:47.000000 UTC",-179.89455870,21.90335765,-72.22592745
"2024-12-14 20:09:48.000000 UTC",-179.89455881,21.90335760,-72.22607985
"2024-12-14 20:09:49.000000 UTC",-179.89455892,21.90335755,-72.22623225
"2024-12-14 20:09:50.000000 UTC",-179.89455903,21.90335750,-72.22638464
"2024-12-14 20:09:51.000000 UTC",-179.89455915,21.90335745,-72.22653704
"2024-12-14 20:09:52.000000 UTC",-179.89455926,21.90335739,-72.22668944
"2024-12-14 20:09:53.000000 UTC",-179.89455937,21.90335734,-72.22684184
"2024-12-14 20:09:54.000000 UTC",-179.89455948,21.90335729,-72.22699423
"2024-12-14 20:09:55.000000 UTC",-179.89455959,21.90335724,-72.22714663
"2024-12-14 20:09:56.000000 UTC",-179.89455970,21.90335719,-72.22729903
"2024-12-14 20:09:57.000000 UTC",-179.89455981,21.90335714,-72.22745143
"2024-12-14 20:09:58.000000 UTC",-179.89455992,21.90335709,-72.22760382
"2024-12-14 20:09:59.000000 UTC",-179.89456003,21.90335704,-72.22775622
"2024-12-14 20:10:00.000000 UTC",-179.89456014,21.90335699,-72.22790862
"2024-12-14 20:10:01.000000 UTC",-179.89456025,21.90335694,-72.22806102
"2024-12-14 20:10:02.000000 UTC",-179.89456036,21.90335689,-72.22821341
"2024-12-14 20:10:03.000000 UTC",-179.89456047,21.90335683,-72.22836581
"2024-12-14 20:10:04.000000 UTC",-179.89456058,21.90335678,-72.22851821
"2024-12-14 20:10:05.000000 UTC",-179.89456069,21.90335673,-72.22867061
"2024-12-14 20:10:06.000000 UTC",-179.89456080,21.90335668,-72.22882300
"2024-12-14 20:10:07.000000 UTC",-179.89456091,21.90335663,-72.22897540
"2024-12-14 20:10:08.000000 UTC",-179.89456102,21.90335658,-72.22912780
"2024-12-14 20:10:09.000000 UTC",-179.89456113,21.90335653,-72.22928020
"2024-12-14 20:10:10.000000 UTC",-179.89456124,21.90335648,-72.22943259
"2024-12-14 20:10:11.000000 UTC",-179.89456135,21.90335643,-72.22958499
"2024-12-14 20:10:12.000000 UTC",-179.89456146,21.90335638,-72.22973739
"2024-12-14 20:10:13.000000 UTC",-179.89456157,21.90335632,-72.22988979
"2024-12-14 20:10:14.000000 UTC",-179.89456168,21.90335627,-72.23004218
"2024-12-14 20:10:15.000000 UTC",-179.89456179,21.90335622,-72.23019458
"2024-12-14 20:10:16.000000 UTC",-179.89456191,21.90335617,-72.23034698
"2024-12-14 20:10:17.000000 UTC",-179.89456202,21.90335612,-72.23049938
"2024-12-14 20:10:18.000000 UTC",-179.89456213,21.90335607,-72.23065177
